iter	Passed	Remaining
0	19	19245
1	51	25818
2	86	28859
3	121	30353
4	154	30830
5	181	30090
6	202	28765
7	245	30484
8	279	30723
9	304	30121
10	337	30367
11	364	30028
12	394	29986
13	429	30215
14	459	30145
15	491	30220
16	525	30380
17	554	30275
18	588	30373
19	628	30806
20	653	30463
21	685	30474
22	706	30003
23	739	30084
24	771	30082
25	797	29860
26	830	29940
27	851	29568
28	882	29555
29	911	29467
30	941	29432
31	974	29471
32	1008	29548
33	1041	29583
34	1076	29674
35	1109	29721
36	1143	29756
37	1167	29555
38	1196	29471
39	1232	29573
40	1269	29697
41	1349	30779
42	1404	31269
43	1438	31244
44	1468	31175
45	1499	31105
46	1531	31060
47	1562	30998
48	1598	31028
49	1625	30889
50	1656	30832
51	1688	30785
52	1717	30688
53	1747	30616
54	1779	30578
55	1813	30565
56	1844	30521
57	1875	30465
58	1906	30403
59	1938	30371
60	1949	30012
61	1980	29962
62	2013	29941
63	2047	29944
64	2079	29919
65	2114	29917
66	2147	29901
67	2179	29877
68	2211	29834
69	2241	29785
70	2274	29763
71	2306	29732
72	2340	29714
73	2359	29524
74	2394	29527
75	2414	29350
76	2443	29293
77	2477	29287
78	2488	29016
79	2518	28957
80	2547	28901
81	2580	28887
82	2613	28872
83	2643	28827
84	2676	28811
85	2707	28770
86	2727	28621
87	2757	28579
88	2791	28573
89	2822	28540
90	2854	28514
91	2886	28491
92	2917	28456
93	2948	28414
94	2981	28400
95	3012	28363
96	3042	28320
97	3076	28313
98	3108	28293
99	3140	28262
100	3172	28237
101	3203	28202
102	3233	28157
103	3264	28121
104	3295	28092
105	3328	28075
106	3359	28038
107	3391	28009
108	3437	28097
109	3470	28082
110	3503	28063
111	3535	28031
112	3567	28003
113	3601	27988
114	3633	27961
115	3665	27930
116	3697	27908
117	3731	27892
118	3763	27861
119	3794	27824
120	3826	27799
121	3859	27776
122	3889	27729
123	3919	27691
124	3950	27654
125	3981	27620
126	4013	27588
127	4045	27557
128	4077	27533
129	4110	27511
130	4148	27517
131	4182	27504
132	4213	27467
133	4245	27436
134	4276	27402
135	4309	27376
136	4338	27326
137	4371	27303
138	4400	27254
139	4429	27207
140	4461	27177
141	4492	27143
142	4525	27121
143	4556	27084
144	4590	27068
145	4622	27035
146	4652	27000
147	4683	26962
148	4714	26927
149	4744	26887
150	4777	26859
151	4810	26835
152	4840	26797
153	4870	26758
154	4904	26737
155	4934	26698
156	4966	26664
157	4996	26629
158	5029	26603
159	5062	26575
160	5094	26546
161	5126	26519
162	5160	26499
163	5190	26459
164	5221	26425
165	5254	26400
166	5283	26356
167	5316	26328
168	5348	26298
169	5379	26265
170	5409	26223
171	5440	26189
172	5462	26112
173	5491	26070
174	5524	26044
175	5555	26009
176	5591	25997
177	5611	25913
178	5642	25877
179	5675	25856
180	5707	25825
181	5737	25786
182	5771	25764
183	5800	25723
184	5838	25722
185	5873	25704
186	5902	25663
187	5932	25622
188	5965	25596
189	5996	25562
190	6027	25529
191	6059	25501
192	6093	25479
193	6123	25441
194	6154	25407
195	6185	25372
196	6215	25334
197	6246	25303
198	6278	25270
199	6311	25247
200	6344	25221
201	6375	25186
202	6405	25149
203	6435	25109
204	6466	25076
205	6498	25046
206	6529	25015
207	6562	24988
208	6598	24971
209	6611	24872
210	6646	24854
211	6680	24829
212	6712	24801
213	6730	24719
214	6762	24691
215	6791	24650
216	6823	24620
217	6861	24612
218	6891	24576
219	6922	24543
220	6954	24514
221	6985	24481
222	7014	24441
223	7047	24414
224	7082	24394
225	7113	24363
226	7149	24345
227	7178	24306
228	7210	24275
229	7242	24247
230	7274	24218
231	7308	24194
232	7339	24159
233	7368	24122
234	7400	24092
235	7430	24055
236	7464	24030
237	7496	24000
238	7527	23968
239	7559	23939
240	7594	23917
241	7626	23888
242	7658	23858
243	7687	23819
244	7722	23797
245	7756	23773
246	7787	23740
247	7818	23706
248	7852	23685
249	7884	23654
250	7915	23621
251	7948	23593
252	7979	23560
253	8011	23530
254	8042	23498
255	8077	23474
256	8109	23445
257	8144	23424
258	8177	23394
259	8208	23361
260	8240	23332
261	8271	23299
262	8303	23270
263	8335	23238
264	8371	23219
265	8401	23182
266	8432	23150
267	8464	23120
268	8494	23084
269	8526	23052
270	8560	23027
271	8591	22993
272	8622	22961
273	8657	22938
274	8689	22909
275	8723	22883
276	8754	22850
277	8784	22813
278	8817	22786
279	8851	22761
280	8884	22733
281	8896	22650
282	8925	22612
283	8958	22585
284	8991	22556
285	9021	22522
286	9054	22494
287	9088	22468
288	9119	22435
289	9150	22403
290	9182	22371
291	9212	22337
292	9243	22305
293	9274	22271
294	9306	22240
295	9337	22207
296	9367	22172
297	9398	22139
298	9429	22106
299	9461	22076
300	9492	22044
301	9525	22016
302	9560	21991
303	9590	21957
304	9627	21938
305	9660	21909
306	9671	21832
307	9703	21800
308	9736	21774
309	9768	21741
310	9798	21707
311	9826	21668
312	9861	21644
313	9892	21612
314	9903	21536
315	9935	21505
316	9947	21431
317	9976	21395
318	10008	21365
319	10041	21337
320	10076	21313
321	10107	21281
322	10139	21251
323	10169	21218
324	10199	21183
325	10230	21150
326	10261	21118
327	10298	21100
328	10329	21067
329	10361	21036
330	10391	21002
331	10421	20968
332	10442	20916
333	10473	20883
334	10503	20850
335	10536	20821
336	10572	20800
337	10603	20767
338	10635	20738
339	10667	20706
340	10698	20675
341	10732	20649
342	10763	20616
343	10794	20585
344	10829	20559
345	10861	20530
346	10894	20501
347	10917	20454
348	10954	20434
349	10985	20402
350	11017	20372
351	11051	20345
352	11085	20317
353	11118	20289
354	11150	20259
355	11180	20225
356	11210	20192
357	11246	20168
358	11279	20140
359	11309	20105
360	11343	20078
361	11372	20043
362	11404	20013
363	11416	19946
364	11448	19917
365	11460	19852
366	11488	19814
367	11519	19782
368	11553	19756
369	11583	19723
370	11613	19690
371	11645	19660
372	11678	19631
373	11708	19597
374	11740	19567
375	11771	19535
376	11802	19503
377	11834	19473
378	11863	19438
379	11893	19404
380	11925	19375
381	11936	19311
382	11967	19279
383	12001	19252
384	12035	19225
385	12069	19198
386	12101	19168
387	12134	19139
388	12164	19106
389	12194	19073
390	12235	19057
391	12266	19025
392	12299	18997
393	12330	18964
394	12345	18908
395	12376	18876
396	12405	18842
397	12436	18811
398	12467	18778
399	12502	18754
400	12516	18696
401	12546	18663
402	12577	18632
403	12610	18603
404	12642	18573
405	12674	18543
406	12704	18511
407	12737	18482
408	12768	18449
409	12793	18410
